id,target
4941,1200000.0
51775,1250000.0
115253,2500000.0
299321,1300000.0
173570,320000.0
30862,900000.0
244471,900000.0
127794,790000.0
71558,1500000.0
218011,750000.0
148208,2500000.0
155735,1600000.0
100698,3500000.0
241403,1200000.0
195272,600000.0
238663,1550000.0
262957,5500000.0
207082,3000000.0
298896,630000.0
220946,2500000.0
74581,850000.0
253578,1600000.0
47620,750000.0
92772,1250000.0
116904,750000.0
208352,1250000.0
76044,450000.0
202667,1250000.0
62134,2500000.0
277353,2250000.0
64194,1300000.0
295822,3500000.0
27391,600000.0
203500,600000.0
264505,1300000.0
297455,1580000.0
137985,2000000.0
47622,1150000.0
21911,1200000.0
94181,1250000.0
68117,1200000.0
39648,1150000.0
73722,2500000.0
133456,1200000.0
30763,1100000.0
58096,1600000.0
126979,1000000.0
149636,900000.0
27810,550000.0
272001,1300000.0
114617,2300000.0
190693,1700000.0
219814,1700000.0
67164,1200000.0
83961,2500000.0
254122,850000.0
141378,1100000.0
151754,1350000.0
125013,900000.0
273552,750000.0
201853,650000.0
99511,1650000.0
25140,2200000.0
7603,1200000.0
84095,2500000.0
84071,2500000.0
151177,2500000.0
294081,750000.0
88694,450000.0
99932,950000.0
14442,1900000.0
162220,1300000.0
163631,2500000.0
49023,2250000.0
80644,2500000.0
274016,1050000.0
64876,750000.0
156696,5500000.0
295991,990000.0
192037,780000.0
118765,1200000.0
94748,3800000.0
251764,980000.0
60381,1200000.0
283938,500000.0
195995,1450000.0
112778,1950000.0
76727,3000000.0
21435,1250000.0
17468,2800000.0
225673,3400000.0
79759,1650000.0
257599,550000.0
270720,3200000.0
153801,1800000.0
92266,1350000.0
207329,1100000.0
243955,1700000.0
288928,2000000.0
186600,2000000.0
48005,850000.0
212520,850000.0
294075,2000000.0
131575,5500000.0
202057,1800000.0
239160,950000.0
92611,480000.0
268351,1500000.0
259109,3600000.0
265328,1500000.0
229144,650000.0
261302,1500000.0
84117,1000000.0
31189,3500000.0
107254,850000.0
192798,2500000.0
28083,1850000.0
118789,1200000.0
2152,2300000.0
287026,1650000.0
249169,1200000.0
137539,1950000.0
46291,950000.0
30233,750000.0
175145,1500000.0
50676,2200000.0
