id,target
4941,3053526.2
51775,982913.25
115253,2243592.2
299321,2453480.8
173570,1228958.2
30862,2617398.8
244471,2755084.0
127794,740357.7
71558,2814772.2
218011,2428271.8
148208,5049794.5
155735,575570.06
100698,2953266.2
241403,2490301.5
195272,2648801.0
238663,1201996.8
262957,3195416.0
207082,2942415.0
298896,419881.34
220946,693956.5
74581,2710293.8
253578,5246097.5
47620,2457969.8
92772,1303210.4
116904,2597408.2
208352,5109853.5
76044,851948.8
202667,1317017.2
62134,3084260.2
277353,3680446.0
64194,3225085.5
295822,4388444.0
27391,1641134.1
203500,2745592.0
264505,972044.0
297455,1270831.1
137985,1518880.4
47622,2994462.8
21911,2100544.0
94181,3150443.0
68117,1759411.6
39648,2162250.5
73722,3064614.2
133456,2258682.8
30763,4259524.5
58096,2462644.0
126979,2520178.8
149636,2368471.2
27810,2790900.5
272001,6977963.5
114617,3232268.8
190693,3120481.5
219814,1906064.9
67164,3070220.8
83961,3158514.8
254122,3290188.2
141378,5308509.5
151754,2717925.0
125013,2272597.8
273552,2501392.0
201853,914473.75
99511,3208506.2
25140,8486536.0
7603,2459779.8
84095,2963396.0
84071,3329436.0
151177,2468393.2
294081,1082465.9
88694,1577590.5
99932,2423486.2
14442,1858907.2
162220,1354252.5
163631,3256920.5
49023,1959130.4
80644,7134749.5
274016,2104228.5
64876,1678897.4
156696,3611422.2
295991,1824611.0
192037,3267459.0
118765,2394851.5
94748,2926086.0
251764,3476974.2
60381,519216.84
283938,620059.06
195995,1428728.5
112778,919159.0
76727,2801247.0
21435,1644544.5
17468,3641246.5
225673,4518011.5
79759,2892060.5
257599,2863164.5
270720,3083992.2
153801,4459973.5
92266,3790805.5
207329,9363808.0
243955,3108944.5
288928,5893611.5
186600,2792871.0
48005,848122.75
212520,1684510.2
294075,2849814.5
131575,1914842.9
202057,3064070.5
239160,2404695.0
92611,1998893.6
268351,1587230.4
259109,2398599.8
265328,1545574.0
229144,2054082.5
261302,2152196.0
84117,2609128.2
31189,4590333.5
107254,864174.7
192798,3005696.2
28083,2935981.2
118789,4054189.8
2152,8484234.0
287026,1279890.9
249169,2591499.0
137539,2918912.5
46291,1177566.6
30233,3166547.5
175145,2131997.0
50676,908685.6
71570,2733188.0
219843,2968380.8
36279,3062985.2
66052,2450180.2
252609,2353851.2
24783,3806058.5
299327,3057171.2
95349,3114176.0
46332,2403087.5
91240,2702131.5
5445,1239753.9
272876,2328953.2
43811,2506508.0
217082,2979293.5
100370,3911218.2
258874,1041610.4
121949,971618.94
212950,2551166.8
200057,2315079.8
229177,1647364.8
287838,2365943.0
213118,2717473.8
176475,2481124.2
118176,4386412.5
209024,2682476.2
221906,2609466.2
42493,2324294.2
223728,2599096.2
141993,4372335.5
55675,2519928.5
224087,2848909.2
83655,965783.5
61917,1891667.9
153665,2931380.0
155758,6891518.0
190393,3636744.0
231050,1846880.2
201122,3291976.2
59267,760287.56
262487,3446448.0
188582,3051500.0
131814,2028977.8
73949,3097150.2
154308,9551306.0
167194,2332210.8
277393,2611751.5
196835,2275057.2
91690,2830917.8
162086,2875588.2
231058,3117748.2
54120,3545388.8
247858,4018522.5
98092,632907.9
271915,3426497.0
44677,1936533.9
56078,852080.2
129375,6092076.0
133361,3338813.8
85866,2978304.2
191559,1395207.2
218728,3837542.0
208771,2647588.2
109195,1777382.1
39549,3154655.0
169828,2431400.2
57416,2887917.8
33193,6112302.5
173865,3692719.8
50919,3353767.0
108504,2213466.2
72963,2674775.2
270712,2219257.5
63504,1297167.6
26896,2202353.2
261152,2495995.5
8838,675678.1
16064,6159479.5
107661,2918639.0
130161,2846229.5
179573,3477967.2
116121,2840574.5
32234,437501.88
191736,1410941.4
57456,3062674.8
160502,2631390.8
215795,2538022.2
126714,2830918.2
173047,1430682.0
97726,2821544.2
193811,2457810.5
17156,2451307.0
71055,2331256.8
193990,3024040.8
52059,2611353.0
274757,3154330.5
1558,3141270.0
253081,2484705.8
181909,2457317.5
145269,2570968.8
186660,3324691.0
6479,2676193.2
249414,2629981.5
43182,1283780.0
248529,3228500.2
125724,3356815.0
214268,1773046.6
270767,2203316.2
141103,2790796.5
292203,3902223.0
62008,2882477.5
89122,2951145.2
47736,3159299.8
222505,4938364.0
29628,2423383.5
202216,2865048.0
194828,318499.6
18649,1394025.5
199020,1316805.0
111554,1264360.9
244687,6235247.0
230919,5516179.0
42397,3288415.2
221946,2923577.2
168390,801296.75
175576,2550226.2
153541,1431279.9
74055,2790345.0
233828,3190982.5
131312,2271209.0
224154,3127432.8
266743,1323522.2
15594,2839797.2
227419,3226721.0
115531,3165217.5
12282,2292231.8
